2022 Resident Population by Metropolitan Statistical Area (Thousands of Persons)
Series ID,Region Name,Region Code,2022-01-01
"FMTPOP","Farmington, NM","22140","120.418"
"FAYPOP","Fayetteville, NC","22180","529.318"
"FASPOP","Fayetteville-Springdale-Rogers, AR-MO","22220","576.403"
"FLGPOP","Flagstaff, AZ","22380","144.06"
"FLTPOP","Flint, MI","22420","401.983"
"FRNPOP","Florence, SC","22500","199.119"
"FLOPOP","Florence-Muscle Shoals, AL","22520","153.911"
"FDLPOP","Fond du Lac, WI","22540","103.836"
"FCLPOP","Fort Collins, CO","22660","366.778"
"FTSPOP","Fort Smith, AR-OK","22900","247.072"
"FWAPOP","Fort Wayne, IN","23060","426.076"
"FREPOP","Fresno, CA","23420","1015.19"
"GADPOP","Gadsden, AL","23460","103.088"
"GVLPOP","Gainesville, FL","23540","348.282"
"GAIPOP","Gainesville, GA","23580","212.692"
"GLNPOP","Glens Falls, NY","24020","126.44"
"GROPOP","Goldsboro, NC","24140","117.286"
"GRFPOP","Grand Forks, ND-MN","24220","103.144"
"GRJPOP","Grand Junction, CO","24300","158.636"
"GRRPOP","Grand Rapids-Wyoming, MI","24340","1094.198"
"GFLPOP","Great Falls, MT","24500","84.864"
"GRLPOP","Greeley, CO","24540","350.176"
"GNBPOP","Green Bay, WI","24580","330.292"
"GNSPOP","Greensboro-High Point, NC","24660","784.101"
"GREPOP","Greenville, NC","24780","173.542"
"ANSPOP","Greenville-Anderson-Mauldin, SC","24860",""
"GNVPOP","Greenville-Anderson-Mauldin, SC","24860","958.958"
"BLXPOP","Gulfport-Biloxi-Pascagoula, MS","25060","420.782"
"HGMPOP","Hagerstown-Martinsburg, MD-WV","25180","302.51"
"HNCPOP","Hanford-Corcoran, CA","25260","152.981"
"HARPOP","Harrisburg-Carlisle, PA","25420","603.493"
"HAVPOP","Harrisonburg, VA","25500","136.555"
"HTFPOP","Hartford-West Hartford-East Hartford, CT","25540","1221.725"
"HATPOP","Hattiesburg, MS","25620","173.359"
"HICPOP","Hickory-Lenoir-Morganton, NC","25860","368.347"
"HFSPOP","Hinesville, GA","25980","86.378"
"HOLPOP","Holland-Grand Haven, MI","26100",""
"HSPPOP","Hot Springs, AR","26300","100.089"
"HOUPOP","Houma-Thibodaux, LA","26380","200.656"
"HTNPOP","Houston-The Woodlands-Sugar Land, TX","26420","7340.118"
"HNAPOP","Huntington-Ashland, WV-KY-OH","26580","354.304"
"HUNPOP","Huntsville, AL","26620","514.465"
"IDFPOP","Idaho Falls, ID","26820","165.608"
"INDPOP","Indianapolis-Carmel-Anderson, IN","26900","2141.779"
"IOCPOP","Iowa City, IA","26980","178.991"
"ITHPOP","Ithaca, NY","27060","104.777"
"JAKPOP","Jackson, MI","27100","160.066"
"JASPOP","Jackson, MS","27140","583.197"
"JACPOP","Jackson, TN","27180","181.579"
"JAXPOP","Jacksonville, FL","27260","1675.668"
"JCVPOP","Jacksonville, NC","27340","207.298"
"JNBPOP","Janesville-Beloit, WI","27500","164.06"
"JEFPOP","Jefferson City, MO","27620","150.35"
"JKDPOP","Johnson City, TN","27740","210.256"
"JHNPOP","Johnstown, PA","27780","131.441"
"JORPOP","Jonesboro, AR","27860","135.512"
"JOPPOP","Joplin, MO","27900","184.086"
"KALPOP","Kalamazoo-Portage, MI","28020","261.173"
"KANPOP","Kankakee, IL","28100","106.074"
"KNCPOP","Kansas City, MO-KS","28140","2209.494"
"RKPPOP","Kennewick-Richland, WA","28420","311.469"
