mls_hash,listing_source_master_id,address,city,state,zip,property_type,price,listed_dt,pend_dt,is_in_listings
-2030886293802302807,749000,2601 Edinbrook Terrace,MINNEAPOLIS,MN,55443,100,400000,,2023-06-02,False
-2029512807323033949,208000,LOT 4048 HOPI LANE,SHOHOLA,PA,18458,100,39900,,2023-06-02,False
-2026057632582948403,207000,17 Lehman Street,LEBANON,PA,17046,200,88000,,2023-06-02,False
-2026048832207691709,208000,1012 MARSH ST,TAPPAHANNOCK,VA,22560,100,188900,,2023-06-02,False
-2025573185153935597,837000,9805 Lawndale Ave SW,LAKEWOOD,WA,98498,100,459950,,2023-06-02,False
-2025290901951113202,837000,15224 Forest Rd SW,LAKEWOOD,WA,98498,100,897950,,2023-06-02,False
-2024904340602367557,811000,550 Wimbledon Ave,SALINAS,CA,93906,100,945000,,2023-06-02,False
-2022724432282785544,598000,503 Linden Ln,LA PLATA,MD,20646,100,399900,,2023-06-02,False
-2022640162821086718,207000,1210 East Robin Street,OZARK,MO,65721,100,309900,,2023-06-02,False
-2022640158518317110,207000,1212 East Chesapeake Drive,OZARK,MO,65721,100,269900,,2023-06-02,False
-2022640158517923525,207000,1006 West Cory Street,OZARK,MO,65721,100,490000,,2023-06-02,False
-2022640154214825922,207000,1025 West Thorngate Drive,OZARK,MO,65721,100,264900,,2023-06-02,False
-2022640149911925108,207000,1205 East Melton Road,OZARK,MO,65721,100,217000,,2023-06-02,False
-2022640149911793916,207000,1103 East Parkview Street,OZARK,MO,65721,100,184900,,2023-06-02,False
-2022442161989649550,598000,326 Forest Edge Ave,LA PLATA,MD,20646,100,397789,,2023-06-02,False
-2022442157686617550,598000,319 Forest Edge Ave,LA PLATA,MD,20646,100,439990,,2023-06-02,False
-2022442157686551951,598000,331 Forest Edge Ave,LA PLATA,MD,20646,100,507789,,2023-06-02,False
-2020546999835536956,208000,96 QUARRY RD,FARMVILLE,VA,23901,100,479000,,2023-06-02,False
-2018911674722692593,795000,2527 Lynn Avenue,ALTOONA,WI,54720,100,275000,,2023-06-02,False
-2017398511622753255,208000,431 N RIDGE RD,WILLARD,OH,44890,100,129900,,2023-06-02,False
