2021 Per Capita Personal Income by Metropolitan Statistical Area (Dollars)
Series ID,Region Name,Region Code,2021-01-01
"FLAG304PCPI","Flagstaff, AZ","22380","56914"
"FLIN426PCPI","Flint, MI","22420","49399"
"FLOR545PCPI","Florence, SC","22500","50386"
"FLOR501PCPI","Florence-Muscle Shoals, AL","22520","44605"
"FOND555PCPI","Fond du Lac, WI","22540","56378"
"FORT608PCPI","Fort Collins, CO","22660","64258"
"FTSPCPI","Fort Smith, AR-OK","22900","45134"
"FORT018PCPI","Fort Wayne, IN","23060","54623"
"FRES406PCPI","Fresno, CA","23420","51422"
"GADS401PCPI","Gadsden, AL","23460","42558"
"GAIN512PCPI","Gainesville, FL","23540","50623"
"GAIN513PCPI","Gainesville, GA","23580","53920"
"GLEN036PCPI","Glens Falls, NY","24020","56040"
"GOLD137PCPI","Goldsboro, NC","24140","49881"
"GRAN238PCPI","Grand Forks, ND-MN","24220","58295"
"GRAN308PCPI","Grand Junction, CO","24300","52121"
"GRAN326PCPI","Grand Rapids-Wyoming, MI","24340","57667"
"GREA530PCPI","Great Falls, MT","24500","53765"
"GREE508PCPI","Greeley, CO","24540","56553"
"GREE555PCPI","Green Bay, WI","24580","58240"
"GREE637PCPI","Greensboro-High Point, NC","24660","51872"
"GREE737PCPI","Greenville, NC","24780","53200"
"ANDE345PCPI","Greenville-Anderson-Mauldin, SC","24860",""
"GREE845PCPI","Greenville-Anderson-Mauldin, SC","24860","50908"
"GULF028PCPI","Gulfport-Biloxi-Pascagoula, MS","25060","44488"
"HAGE124PCPI","Hagerstown-Martinsburg, MD-WV","25180","51102"
"HANF206PCPI","Hanford-Corcoran, CA","25260","43176"
"HARR442PCPI","Harrisburg-Carlisle, PA","25420","60517"
"HARR551PCPI","Harrisonburg, VA","25500","47217"
"HATT628PCPI","Hattiesburg, MS","25620","44538"
"HICK837PCPI","Hickory-Lenoir-Morganton, NC","25860","48529"
"HINE913PCPI","Hinesville, GA","25980","41012"
"HOLL126PCPI","Holland-Grand Haven, MI","26100",""
"HSPPCPI","Hot Springs, AR","26300","46897"
"HOUM322PCPI","Houma-Thibodaux, LA","26380","49613"
"HOUS448PCPI","Houston-The Woodlands-Sugar Land, TX","26420","64837"
"HUNT554PCPI","Huntington-Ashland, WV-KY-OH","26580","47505"
"HUNT601PCPI","Huntsville, AL","26620","57815"
"IDAH816PCPI","Idaho Falls, ID","26820","55084"
"INDI918PCPI","Indianapolis-Carmel-Anderson, IN","26900","65805"
"IOWA919PCPI","Iowa City, IA","26980","60316"
"ITHA036PCPI","Ithaca, NY","27060","51377"
"JACK126PCPI","Jackson, MI","27100","47503"
"JACK128PCPI","Jackson, MS","27140","51982"
"JACPCPI","Jackson, TN","27180","48718"
"JACK212PCPI","Jacksonville, FL","27260","59271"
"JACK337PCPI","Jacksonville, NC","27340","50869"
"JANE555PCPI","Janesville-Beloit, WI","27500","52787"
"JEFPCPI","Jefferson City, MO","27620","51286"
"JOHN747PCPI","Johnson City, TN","27740","48257"
"JOHN742PCPI","Johnstown, PA","27780","49472"
"JORPCPI","Jonesboro, AR","27860","44554"
"JOPL929PCPI","Joplin, MO","27900","44292"
"KALA026PCPI","Kalamazoo-Portage, MI","28020","58524"
"KANK117PCPI","Kankakee, IL","28100","53165"
"KANS129PCPI","Kansas City, MO-KS","28140","61410"
"KENN453PCPI","Kennewick-Richland, WA","28420","52082"
"KILL648PCPI","Killeen-Temple, TX","28660","47755"
"KING747PCPI","Kingsport-Bristol-Bristol, TN-VA","28700","47287"
"KING736PCPI","Kingston, NY","28740","60557"
"KNOX947PCPI","Knoxville, TN","28940","55752"
"KOKO018PCPI","Kokomo, IN","29020","47031"
"LACR155PCPI","La Crosse-Onalaska, WI-MN","29100","58414"
"LAFA122PCPI","Lafayette, LA","29180","52241"
"LAFA118PCPI","Lafayette-West Lafayette, IN","29200",""
"LWTL918PCPI","Lafayette-West Lafayette, IN","29200","46968"
"LAKE322PCPI","Lake Charles, LA","29340","51080"
"LAKEHCPCPI","Lake Havasu City-Kingman, AZ","29420","41331"
"LAKE412PCPI","Lakeland-Winter Haven, FL","29460","43556"
"LANC542PCPI","Lancaster, PA","29540","61547"
"LANS626PCPI","Lansing-East Lansing, MI","29620","50326"
"LARE748PCPI","Laredo, TX","29700","40850"
"LASC735PCPI","Las Cruces, NM","29740","45045"
"LASV832PCPI","Las Vegas-Henderson-Paradise, NV","29820","58276"
"LAWR920PCPI","Lawrence, KS","29940","51703"
"LAWT040PCPI","Lawton, OK","30020","47807"
"LEBA142PCPI","Lebanon, PA","30140","55803"
"LEWI316PCPI","Lewiston, ID-WA","30300","52572"
"LEXI421PCPI","Lexington-Fayette, KY","30460","57519"
"LIMA639PCPI","Lima, OH","30620","50353"
"LINC731PCPI","Lincoln, NE","30700","56887"
"LRSPCPI","Little Rock-North Little Rock-Conway, AR","30780","53158"
"LOGA849PCPI","Logan, UT-ID","30860","46903"
"LONG948PCPI","Longview, TX","30980","48868"
"LONG053PCPI","Longview, WA","31020","54550"
"LALBA906PCPI","Los Angeles-Long Beach-Anaheim, CA","31080","75821"
"LOSA106PCPI","Los Angeles-Long Beach-Anaheim, CA","31080",""
"LOIPCPI","Louisville/Jefferson County, KY-IN","31140","59425"
"LUBB148PCPI","Lubbock, TX","31180","51045"
"LYNC351PCPI","Lynchburg, VA","31340","47374"
"MACO413PCPI","Macon-Bibb County, GA","31420","46875"
"MADE406PCPI","Madera, CA","31460","45757"
"MADI555PCPI","Madison, WI","31540","69116"
"MANS939PCPI","Mansfield, OH","31900","46366"
"MCAL548PCPI","McAllen-Edinburg-Mission, TX","32580","34503"
"MEDF741PCPI","Medford, OR","32780","56842"
"MPHPCPI","Memphis, TN-MS-AR","32820","56568"
"MERC906PCPI","Merced, CA","32900","46580"
"MIAM112PCPI","Miami-Fort Lauderdale-West Palm Beach, FL","33100","73522"
"MICH118PCPI","Michigan City-La Porte, IN","33140","49508"
